title,file_size_gb,date_released,developer,publisher,platform
BattleBlock Theater,1.83,5/15/2014,The Behemoth,The Behemoth,Steam
Call of Cthulhu: Dark Corners of the Earth,1.74,8/5/2006,Headfirst Productions,Bethesda Softworks,Steam
Final Fantasy VIII,1.6,2/11/1999,Square Enix,Square Enix,Steam
DOOM 3,1.48,8/3/2004,Id Software,Id Software,Steam
Final Fantasy VII,1.43,1/31/1997,Square Enix,Square Enix,Steam
Quake,1.12,6/22/1996,Id Software,Bethesda Softworks,Steam
Elder Scrolls III: Morrowind,1.06,4/29/2002,Bethesda Game Studios,Bethesda Softworks,Steam
while True: learn,1,12/2/2021,Luden,Nival,Epic Games
Damned,0.89,10/6/2014,9heads Games Studios,9heads Games Studios,Steam
Quake III: Team Arena,0.83,12/19/2000,Id Software,Id Software,Steam
Dead Cells,0.8,10/22/2020,Motion Twin,Motion Twin,Epic Games
Return to Castle Wolfenstein,0.77,11/20/2001,Gray Matter Studios,Bethesda Softworks,Steam
Velvet Sundown,0.75,7/22/2014,Tribe Studios,Tribe Studios,Steam
Sunless Sea,0.7,2/25/2021,Failbetter Games,Failbetter Games,Epic Games
Arma 2: DayZ Mod,0.65,2/21/2013,Bohemia Interactive,Bohemia Interactive,Steam
Stardew Valley,0.62,2/26/2016,ConcernedApe,ConcernedApe,Steam
Final Fantasy III,0.6,4/27/1990,Square Enix,Square Enix,Steam
Nintendo Switch Sports,0.6,4/29/2022,Nintendo EPD,Nintendo,Nintendo Switch Cartridge
Quake II: Ground Zero,0.59,11/1/1998,Rouge Entertainment,Id Software,Steam
Hotline Miami,0.55,1/23/2012,Dennaton Games,Devolver Digital,Steam
Rogue Legacy,0.55,10/15/2013,Cellar Door Games,Cellar Door Games,Steam
Quake II: The Reckoning,0.54,5/31/1998,Xatrix Entertainment,Id Software,Steam
Super Meat Boy,0.5,11/30/2010,Team Meat,Team Meat,Steam
Stardew Valley,0.5,2/26/2018,ConcernedApe,ConcernedApe,Playstation Network
Terraria,0.44,5/16/2011,Re-Logic,Re-Logic,Steam
DOOM II: Hell on Earth,0.43,5/5/1994,Id Software,Id Software,Steam
Reus,0.4,10/11/2016,Abbey Games,Abbey Games,Steam
Centipede Recharged,0.4,9/29/2021,SneakyBox,Atari,Epic Games
Black Widow: Recharged,0.4,10/18/2021,SneakyBox,Atari,Epic Games
Quake 2,0.37,11/11/1997,Id Software,Id Software,Steam
Among Us,0.25,12/18/2020,Innersloth,Innersloth,Epic Games
Castle Crashers,0.19,9/26/2012,The Behemoth,The Behemoth,Steam
Spelunky,0.18,8/8/2019,Mossmouth,Mossmouth,Steam
Risk of Rain,0.09,11/8/2013,Hopoo Games,Chucklefish,Steam
SteamWorld Dig,0.09,12/5/2013,Image & Form Games,Image & Form Games,Steam
Super Mario 3D World and Bowsers Fury,0.08,2/12/2021,Nintendo EAD,Nintendo,Nintendo Switch Cartridge
Timberman,0.07,9/18/2015,Digital Melody,Forever Entertainment,Steam
Mount Your Friends,0.04,7/29/2014,Stegersaurus Software,Stegersaurus Software,Steam
Commander Keen,0.03,12/14/1990,Id Software,Id Software,Steam
Wolfenstein 3D,0.01,8/3/1994,Id Software,Bethesda Softworks,Steam
Proteus,0.01,1/30/2013,Ed Key,Twisted Tree,Steam
Legend of Zelda: Breath of the Wild,0,3/13/2017,Nintendo EPD,Nintendo,Nintendo Switch Cartridge
Rayman Legends,0,9/12/2017,Ubisoft,Ubisoft,Nintendo Switch Cartridge
